,Location,region,"('%_death_probability_both', '')","('%_death_probability_male', '')","('%_death_probability_female', '')","('alcohol_per_capita_both', '')_x","('alcohol_per_capita_male', '')_x","('alcohol_per_capita_female', '')_x","('alcohol_per_capita_both', '')","('alcohol_per_capita_male', '')","('alcohol_per_capita_female', '')","('%_tobacco_both', '')","('%_tobacco_male', '')","('%_tobacco_female', '')","('%_water', '')","('%_h_w_facilities', '')","('%_doctors', '')","('%_suicide_rate_both', '')","('%_suicide_rate_male', '')","('%_suicide_rate_female', '')","('%_adolescent_birth_rate', '')","('%_w_got_abused', '')","('%_infant_mortality_both', '')","('%_infant_mortality_male', '')","('%_infant_mortality_female', '')","('%_birth_attend_skilled', '')"
105,Mali,Africa,25.46,22.759999999999998,27.619999999999997,1.1640000000000001,2.0100000000000002,0.346,1.1640000000000001,2.0100000000000002,0.346,12.266666666666667,22.38888888888889,2.1666666666666665,52.80166666666666,53.73047619047619,0.0104625,0.005,0.0072250000000000005,0.0028250000000000003,16.822857142857142,21.0375,12.42798245614035,13.346140350877194,11.481298245614035,53.333333333333336
106,Malta,Europe,12.26,15.319999999999999,9.3,6.9,10.776,3.0740000000000003,6.9,10.776,3.0740000000000003,27.87777777777778,32.18888888888889,23.544444444444444,100.0,,0.25814444444444445,0.007025,0.011075,0.002975,1.7277777777777779,5.0,2.1513,2.3348857142857145,1.9502999999999997,99.70588235294117
107,Marshall Islands,Western Pacific,,,,,,,,,,,,,74.47411764705882,81.15,0.0532,,,,10.575,19.75714285714286,4.537737704918033,4.991918032786885,4.059295081967213,89.03999999999999
108,Mauritania,Africa,17.98,18.02,17.939999999999998,0.097,0.16999999999999998,0.0258,0.097,0.16999999999999998,0.0258,,,,36.974999999999994,42.28190476190476,0.01565714285714286,0.0037749999999999997,0.00565,0.00185,8.165000000000001,,9.072057142857142,9.899857142857144,8.235242857142858,63.833333333333336
109,Mauritius,Africa,25.28,31.119999999999997,19.6,4.518,7.256,1.866,4.518,7.256,1.866,29.477777777777778,51.31111111111111,7.622222222222222,99.47888888888889,,0.16334615384615384,0.009125000000000001,0.0142,0.0041,3.1142105263157895,,3.7431142857142863,4.1151857142857144,3.354271428571429,99.4909090909091
110,Mexico,Americas,16.36,17.66,15.14,5.608,8.924000000000001,2.4,5.608,8.924000000000001,2.4,16.933333333333334,25.544444444444444,8.3,85.915,85.80666666666667,0.2094357142857143,0.0045249999999999995,0.00735,0.001725,7.495333333333334,9.5,5.584405797101449,6.0605797101449275,5.122507246376811,96.33333333333333
111,Micronesia (Federated States of),Western Pacific,26.72,29.560000000000002,23.919999999999998,2.882,4.74,0.99,2.882,4.74,0.99,,,,82.61222222222221,,0.051059999999999994,0.011300000000000001,0.0154,0.007075,5.2524999999999995,26.071428571428573,3.793461538461538,4.1593333333333335,3.4031025641025643,87.575
112,Republic of Moldova,Europe,29.080000000000002,37.6,21.740000000000002,14.536000000000001,22.768,7.17,14.536000000000001,22.768,7.17,24.944444444444443,44.144444444444446,5.777777777777778,78.44999999999999,87.53518518518518,0.28168076923076923,0.018224999999999998,0.032174999999999995,0.00535,2.8016666666666667,14.675,2.7471020408163267,3.061204081632653,2.4365102040816327,99.43684210526315
113,Monaco,Europe,,,,,,,,,,,,,100.0,,0.61898,,,,,,0.44302857142857144,0.4906,0.3929714285714286,
114,Mongolia,Western Pacific,33.48,41.160000000000004,25.919999999999998,7.44,11.596,3.41,7.44,11.596,3.41,30.88888888888889,53.900000000000006,7.8999999999999995,41.99888888888889,66.96761904761904,0.29307,0.016175000000000002,0.02695,0.00555,2.3323529411764703,13.899999999999999,5.693142857142857,6.518452380952381,4.840214285714286,99.21666666666665
115,Montenegro,Europe,22.96,29.160000000000004,17.0,12.486666666666666,19.88,5.466666666666666,12.486666666666666,19.88,5.466666666666666,,,,95.28166666666668,,0.2059,0.01055,0.0152,0.00605,1.5605263157894735,,1.0753611111111112,1.1438055555555555,1.0030277777777779,98.875
116,Morocco,Eastern Mediterranean,16.34,18.1,14.66,0.852,1.506,0.22999999999999998,0.852,1.506,0.22999999999999998,17.37777777777778,33.544444444444444,1.2222222222222223,49.65166666666667,,0.06736666666666667,0.0047,0.00375,0.0056749999999999995,2.545,,7.64771875,8.189265625,7.009625,78.1
117,Mozambique,Africa,21.419999999999998,22.860000000000003,20.32,1.95,3.2920000000000003,0.754,1.95,3.2920000000000003,0.754,18.27777777777778,29.077777777777776,7.477777777777778,24.29611111111111,13.537407407407407,0.0051090909090909095,0.006500000000000001,0.00965,0.0035499999999999998,18.048571428571428,15.0,13.505964285714285,13.981125,12.73,60.86666666666667
118,Myanmar,South-East Asia,24.880000000000003,27.24,22.82,2.8920000000000003,4.762,1.15,2.8920000000000003,4.762,1.15,50.900000000000006,74.42222222222222,27.400000000000002,58.25888888888889,81.63888888888889,0.053149999999999996,0.007475,0.00525,0.009575,2.3649999999999998,12.25,7.497653846153846,8.165365384615384,6.87125,64.89999999999999
119,Namibia,Africa,23.2,26.32,20.74,3.722,6.266,1.394,3.722,6.266,1.394,20.166666666666668,28.177777777777777,12.166666666666666,67.84333333333333,44.337777777777774,0.042725,0.010175,0.016524999999999998,0.00415,7.363333333333333,23.925,4.94377358490566,5.365283018867925,4.4992264150943395,84.80000000000001
120,Nauru,Western Pacific,,,,4.518,7.524000000000001,1.548,4.518,7.524000000000001,1.548,57.92222222222222,56.24444444444445,59.63333333333334,97.83333333333333,,0.11958571428571428,,,,7.91,,3.6222,3.9724857142857144,3.250514285714286,97.4
121,Nepal,South-East Asia,24.18,27.18,21.4,1.8219999999999998,3.088,0.6639999999999999,1.8219999999999998,3.088,0.6639999999999999,41.266666666666666,56.47777777777778,26.066666666666666,83.37777777777778,59.529230769230765,0.05902,0.011875,0.012625,0.011125,8.485555555555557,11.475,11.95325,12.511705882352942,11.407411764705882,36.04
122,Netherlands,Europe,13.02,15.34,10.64,10.232000000000001,15.782,4.837999999999999,10.232000000000001,15.782,4.837999999999999,26.188888888888886,28.522222222222222,23.866666666666667,100.0,,0.29158,0.01055,0.01415,0.006975,0.5066666666666666,7.0,0.9689857142857145,1.0873428571428572,0.8445857142857143,
123,New Zealand,Western Pacific,12.3,14.3,10.32,10.746,16.604,5.224,10.746,16.604,5.224,19.12222222222222,20.155555555555555,18.11111111111111,100.0,,0.30369999999999997,0.012825,0.01935,0.00655,2.4563157894736842,,1.2737428571428573,1.4278428571428572,1.1112714285714287,96.7764705882353
124,Nicaragua,Americas,16.14,16.48,15.860000000000003,5.07,8.292,2.052,5.07,8.292,2.052,,,,61.17722222222223,,0.07537333333333333,0.014075,0.02165,0.0067,10.6375,7.575,6.7663230769230776,7.418369230769231,6.105107692307692,87.16666666666667
125,Niger,Africa,20.419999999999998,20.1,20.66,0.402,0.702,0.1176,0.402,0.702,0.1176,8.277777777777779,15.355555555555554,1.2111111111111112,34.379444444444445,14.497407407407408,0.0034000000000000002,0.004775000000000001,0.0059499999999999996,0.003525,17.944444444444443,,10.416566037735848,11.114792452830187,9.755509433962265,28.900000000000002
126,Nigeria,Africa,23.66,21.48,25.619999999999997,11.676,18.674,4.618,11.676,18.674,4.618,5.522222222222222,10.18888888888889,0.8333333333333334,45.162777777777784,41.83619047619048,0.036000000000000004,0.00985,0.0093,0.010374999999999999,12.28111111111111,10.625,12.019589285714286,12.897499999999999,10.950767857142859,40.64
127,Niue,Western Pacific,,,,9.0,14.394,3.4520000000000004,9.0,14.394,3.4520000000000004,,,,98.71444444444445,,0.20726,,,,2.745,,1.895257142857143,2.055542857142857,1.6860285714285714,100.0
128,Democratic People's Republic of Korea,South-East Asia,25.76,34.56,18.18,3.72,6.154,1.454,3.72,6.154,1.454,19.62222222222222,39.24444444444444,0.0,95.76222222222222,,0.34654999999999997,0.01105,0.01355,0.0087,0.08499999999999999,,3.0456000000000003,3.4228,2.7922000000000002,98.86666666666667
129,North Macedonia,Europe,,,,,,,,,,,,,,,,,,,,,,,,
130,Norway,Europe,11.24,13.48,9.02,8.138,12.379999999999999,3.9519999999999995,8.138,12.379999999999999,3.9519999999999995,25.366666666666667,26.12222222222222,24.633333333333333,100.0,,0.22731578947368422,0.012750000000000001,0.017025,0.008425,0.7683333333333333,,0.9671857142857143,1.083257142857143,0.8445142857142857,99.13157894736842
131,Oman,Eastern Mediterranean,20.259999999999998,22.02,17.72,2.0799999999999996,3.054,0.5800000000000001,2.0799999999999996,3.054,0.5800000000000001,9.577777777777778,18.288888888888888,0.8666666666666667,65.9629411764706,97.4,0.16593809523809522,0.003875,0.005825,0.000925,1.336875,,6.3335,6.855844827586207,5.774120689655172,98.47500000000001
132,Pakistan,Eastern Mediterranean,25.7,27.580000000000002,23.64,0.213,0.352,0.0658,0.213,0.352,0.0658,25.98888888888889,41.08888888888889,10.899999999999999,85.50388888888888,62.86666666666667,0.07464166666666668,0.003225,0.002875,0.0036499999999999996,5.405,,12.383608695652175,12.969623188405796,11.593202898550725,43.65
133,Palau,Western Pacific,,,,,,,,,,26.955555555555556,40.51111111111111,13.399999999999999,88.18777777777778,,0.14726,,,,3.001111111111111,9.9875,2.416857142857143,2.660685714285714,2.1454571428571425,99.72
134,Panama,Americas,13.84,15.98,11.84,6.7,10.6,2.816,6.7,10.6,2.816,9.633333333333333,15.61111111111111,3.6999999999999997,83.72222222222223,,0.1302875,0.005325,0.009049999999999999,0.00155,8.371111111111112,10.1,3.7094927536231888,4.055000000000001,3.3633188405797103,92.77368421052631
135,Papua New Guinea,Western Pacific,29.72,32.86,26.740000000000002,1.568,2.594,0.53,1.568,2.594,0.53,,,,29.683888888888887,,0.005399999999999999,0.006075,0.0085,0.003575,6.766666666666667,,7.519046153846154,8.014661538461539,7.0408307692307694,49.46666666666667
136,Paraguay,Americas,18.96,20.1,17.84,7.0920000000000005,11.11,2.978,7.0920000000000005,11.11,2.978,17.555555555555557,27.58888888888889,7.477777777777778,76.26444444444445,78.625,0.126,0.009850000000000001,0.0131,0.0065,6.458333333333333,8.0,4.04246875,4.381546875,3.68428125,92.68666666666667
137,Peru,Americas,13.66,14.98,12.42,6.846000000000001,10.495999999999999,3.268,6.846000000000001,10.495999999999999,3.268,15.877777777777778,25.577777777777776,6.199999999999999,63.46,55.51,0.12401999999999999,0.0048000000000000004,0.00695,0.002675,6.174285714285714,11.6,7.176058823529411,7.734411764705883,6.611470588235294,88.27499999999999
138,Philippines,Western Pacific,27.3,33.04,21.759999999999998,6.454000000000001,10.308,2.622,6.454000000000001,10.308,2.622,27.62222222222222,46.36666666666667,8.855555555555556,84.56666666666666,78.71666666666667,0.11653333333333334,0.0029,0.0041,0.00175,5.21,6.3125,4.483925373134328,4.958179104477612,3.991328358208955,72.9
139,Poland,Europe,21.1,29.02,13.76,10.864,17.122,5.128,10.864,17.122,5.128,30.477777777777778,35.28888888888889,25.655555555555555,95.9176923076923,,0.22555714285714284,0.01725,0.030475,0.0049,1.4255555555555555,3.0,2.806685714285714,3.122457142857143,2.476314285714286,99.6842105263158
140,Portugal,Europe,12.78,17.5,8.4,12.774,20.3,6.026,12.774,20.3,6.026,26.87777777777778,33.97777777777778,19.744444444444444,99.2988888888889,,0.358475,0.011475,0.018175,0.0053,1.4955555555555557,6.0,3.3220714285714283,3.603442857142857,3.0263714285714287,98.85000000000001
141,Qatar,Eastern Mediterranean,16.419999999999998,16.82,15.919999999999998,1.544,1.9100000000000001,0.382,1.544,1.9100000000000001,0.382,14.455555555555556,27.244444444444444,1.6666666666666667,99.90388888888889,,0.27117500000000005,0.0048,0.006275,0.000925,1.4268750000000001,,1.9391960784313726,2.0830196078431373,1.7734117647058825,99.98823529411764
142,Romania,Europe,23.619999999999997,31.7,16.06,14.128,22.102,6.731999999999999,14.128,22.102,6.731999999999999,30.366666666666667,40.41111111111111,20.322222222222223,100.0,,0.22853529411764706,0.012825,0.0218,0.0043749999999999995,3.7716666666666665,7.0,3.1336923076923076,3.415769230769231,2.8396615384615385,98.23888888888888
143,Russian Federation,Europe,31.160000000000004,43.739999999999995,20.2,14.524000000000001,24.332,6.302,14.524000000000001,24.332,6.302,30.033333333333335,45.388888888888886,14.688888888888888,88.53444444444443,,0.27627199999999996,0.044075,0.078875,0.013725000000000001,2.6999999999999997,,1.71518,1.9472,1.4712200000000002,99.52666666666667
144,Rwanda,Africa,21.64,22.72,20.84,11.042,18.002,4.538,11.042,18.002,4.538,15.366666666666667,22.37777777777778,8.322222222222223,46.74111111111111,4.938518518518519,0.010185714285714286,0.0102,0.013349999999999999,0.007175,4.267,20.057142857142857,9.891746031746031,10.595936507936507,9.197349206349207,62.6
145,Saint Kitts and Nevis,Americas,,,,9.662,15.24,4.298,9.662,15.24,4.298,,,,98.69857142857143,,0.10919166666666667,,,,6.859999999999999,,2.6427916666666667,2.889416666666667,2.3747083333333334,99.91538461538462
146,Saint Lucia,Americas,21.380000000000003,23.06,19.8,10.736,17.316,4.522,10.736,17.316,4.522,,,,92.75777777777778,87.36407407407407,0.1049076923076923,0.005825,0.01035,0.0014750000000000002,4.72,,4.503285714285714,4.680085714285714,4.3246142857142855,99.25384615384615
147,Saint Vincent and the Grenadines,Americas,22.86,24.96,20.720000000000002,7.110000000000001,11.286,2.8579999999999997,7.110000000000001,11.286,2.8579999999999997,,,,94.31555555555556,,0.07866,0.00555,0.009649999999999999,0.0013499999999999999,6.62,,4.650347826086957,4.8726376811594205,4.397594202898551,99.37333333333332
148,Samoa,Western Pacific,24.22,30.419999999999998,17.52,3.242,5.272,1.074,3.242,5.272,1.074,32.577777777777776,46.044444444444444,19.1,93.42500000000001,,0.0408375,0.006075,0.0093,0.002575,3.6350000000000002,22.0,4.105614285714285,4.441528571428571,3.774142857142857,81.10000000000001
149,San Marino,Europe,,,,,,,,,,,,,100.0,,0.528475,,,,0.23249999999999998,,0.6386857142857143,0.7014285714285714,0.5727428571428571,
150,Sao Tome and Principe,Africa,18.9,18.56,19.259999999999998,7.6659999999999995,12.116,3.3519999999999994,7.6659999999999995,12.116,3.3519999999999994,5.688888888888889,9.366666666666667,2.011111111111111,67.94333333333333,42.64625,0.029866666666666666,0.002025,0.0027,0.00135,9.559999999999999,26.0,5.239654545454545,5.764054545454546,4.702963636363637,84.96666666666667
151,Saudi Arabia,Eastern Mediterranean,17.619999999999997,19.3,15.440000000000001,0.182,0.282,0.040600000000000004,0.182,0.282,0.040600000000000004,16.72222222222222,30.666666666666668,2.7555555555555555,98.56555555555556,,0.2087090909090909,0.0031,0.0045000000000000005,0.0013,1.515,,3.5583333333333336,3.824895833333333,3.3956250000000003,96.81
152,Senegal,Africa,19.94,20.78,19.28,0.78,1.3699999999999999,0.236,0.78,1.3699999999999999,0.236,10.744444444444445,20.366666666666667,1.1222222222222225,54.80944444444444,24.772,0.013033333333333334,0.0072250000000000005,0.01085,0.00375,9.086153846153847,12.15,8.881528571428571,9.54892857142857,8.1388,60.125
153,Serbia,Europe,23.26,29.28,17.380000000000003,9.713333333333333,15.443333333333333,4.333333333333333,9.713333333333333,15.443333333333333,4.333333333333333,42.266666666666666,43.84444444444445,40.68888888888889,88.97611111111111,97.70629629629629,0.24462857142857142,0.017675,0.0257,0.01,2.2405882352941178,,1.4015555555555554,1.5162777777777778,1.281111111111111,99.25333333333333
154,Seychelles,Africa,22.56,30.3,14.52,12.558,19.536,5.696,12.558,19.536,5.696,22.51111111111111,37.577777777777776,7.466666666666667,95.15833333333333,,0.11696999999999999,0.00915,0.0158,0.0025,6.048947368421053,,3.5074571428571426,3.736214285714286,3.2635428571428573,99.22222222222223
155,Sierra Leone,Africa,32.58,31.02,34.02,5.706,9.884,1.67,5.706,9.884,1.67,24.711111111111112,36.611111111111114,12.81111111111111,36.53111111111111,14.93595238095238,0.002325,0.01,0.011875,0.008225,12.58,28.525,15.264550000000002,16.28549180327869,14.30560655737705,61.9
156,Singapore,Western Pacific,12.14,15.34,8.959999999999999,2.1119999999999997,3.17,1.09,2.1119999999999997,3.17,1.09,16.522222222222222,27.711111111111112,5.311111111111111,100.0,,0.1692266666666667,0.01075,0.014249999999999999,0.00735,0.5310526315789473,,1.753342857142857,1.9187,1.5773,99.66315789473684
157,Slovakia,Europe,20.7,28.720000000000006,13.38,11.84,18.508,5.68,11.84,18.508,5.68,32.077777777777776,40.099999999999994,24.044444444444444,98.04166666666667,,0.3328473684210526,0.013725000000000001,0.023875,0.0040999999999999995,2.229444444444445,8.0,0.9466923076923077,1.0573333333333332,0.8292051282051282,99.03263157894736
158,Slovenia,Europe,14.780000000000001,19.7,9.959999999999999,12.216,18.906,5.804,12.216,18.906,5.804,23.544444444444444,25.72222222222222,21.322222222222223,99.4,,0.2473631578947368,0.0253,0.03955,0.011525,0.5249999999999999,2.0,0.5993076923076923,0.6591282051282051,0.536051282051282,99.8923076923077
159,Solomon Islands,Western Pacific,26.74,28.919999999999998,24.419999999999998,1.556,2.566,0.534,1.556,2.566,0.534,39.166666666666664,56.52222222222222,21.866666666666664,70.31166666666667,41.10047619047619,0.01715,0.007375,0.00995,0.00465,6.915,41.8,4.41205,4.7676,4.1249,86.1
